OID,fid_1,id,tree_cat,Name_Tree_,Photo,Descriptio,Date,in_avgtemp,in_avghum,ot_avgtemp,ot_avghum,tree_den,build_den,dis_to_bui,dis_to_wat,lat,long
-1,0,61,1,red bottle brush,C:\Users\jadoo\Downloads\nust_68.JPG,myrtaceae,04/04/2024 0:00,27.1987,36.4716988,25.3190002,45.3261986,15388,184.0310059,28.4321995,140.8919983,33.64069459,72.98660902
-1,3,3,2,spiny fiddlewood,C:\Users\jadoo\Downloads\nust_20.jpg,verbenaceae,07/12/2023 0:00,27.1690006,36.4696999,25.0021992,46.549099,6189.609863,184.0310059,13.4031,221.2519989,33.63976643,72.98652493
-1,7,1,3,chinar,C:\Users\jadoo\Downloads\nust_76.jpg,known for its leaves(star shape),07/12/2023 0:00,27.0615997,36.5494995,24.8283997,46.9575005,2836.899902,92.0154037,18.9547997,252.3560028,33.63924385,72.98679422
-1,9,3,3,chinar,C:\Users\jadoo\Downloads\nust_81.jpg,known for its leaves(star shape),07/12/2023 0:00,27.1417007,36.4902,24.8917007,46.8359985,2922.870117,92.0154037,9.4774103,242.7400055,33.6394226,72.98668232
-1,10,4,3,chinar,C:\Users\jadoo\Downloads\nust_80.jpg,known for its leaves(star shape),07/12/2023 0:00,27.1417007,36.4902,24.8917007,46.8359985,3610.600098,92.0154037,9.4774103,235.4140015,33.639451,72.9866611
-1,12,6,3,chinar,C:\Users\jadoo\Downloads\nust_88.jpg,known for its leaves(star shape),07/12/2023 0:00,27.1842003,36.4581985,24.9216003,46.7654991,3696.570068,184.0310059,9.4774103,234.6499939,33.63953544,72.98659707
-1,13,7,3,chinar,C:\Users\jadoo\Downloads\nust_92.jpg,known for its leaves(star shape),07/12/2023 0:00,27.1774006,36.4632988,24.9482002,46.6996994,3696.570068,184.0310059,9.4774103,234.6499939,33.6395945,72.98655283
-1,14,8,3,chinar,C:\Users\jadoo\Downloads\nust_98.jpg,known for its leaves(star shape),07/12/2023 0:00,27.2278996,36.4249992,24.9500999,46.6860008,5329.939941,184.0310059,9.4774103,227.852005,33.63964135,72.98651608
-1,15,9,3,chinar,C:\Users\jadoo\Downloads\nust_99.jpg,known for its leaves(star shape),07/12/2023 0:00,27.2231007,36.4286995,24.9764996,46.6122017,4470.27002,184.0310059,18.9547997,234.6499939,33.6396719,72.98649285
-1,16,10,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.2231007,36.4286995,24.9764996,46.6122017,4642.200195,184.0310059,21.1921005,227.852005,33.63971927,72.98648157
-1,17,11,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1723003,36.4672012,24.9750996,46.6282997,5329.939941,184.0310059,9.4774103,227.852005,33.63967606,72.98651842
-1,18,12,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1774006,36.4632988,24.9482002,46.6996994,5329.939941,184.0310059,9.4774103,227.852005,33.63964436,72.98653829
-1,19,13,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1774006,36.4632988,24.9482002,46.6996994,5329.939941,184.0310059,9.4774103,227.852005,33.63962875,72.98655437
-1,20,14,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1774006,36.4632988,24.9482002,46.6996994,3696.570068,184.0310059,9.4774103,234.6499939,33.63961456,72.98656714
-1,21,15,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1774006,36.4632988,24.9482002,46.6996994,3696.570068,184.0310059,9.4774103,234.6499939,33.63960179,72.98657613
-1,22,16,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1774006,36.4632988,24.9482002,46.6996994,3696.570068,184.0310059,9.4774103,234.6499939,33.63958286,72.98659127
-1,23,17,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1327,36.4968987,24.9183006,46.7765007,4556.240234,184.0310059,0,228.2460022,33.63955117,72.98661303
-1,24,17,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1417007,36.4902,24.8917007,46.8359985,3610.600098,92.0154037,9.4774103,235.4140015,33.63948258,72.98666554
-1,25,18,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.0891991,36.5290985,24.8868999,46.8432007,2922.870117,92.0154037,9.4774103,242.7400055,33.63942912,72.98670764
-1,26,18,4,rubber tree,C:\Users\jadoo\Downloads\nust_44.jpg,can go upto 140ft in height and are ever green trees,07/12/2023 0:00,27.1007004,36.5206985,24.8605995,46.8991013,3094.800049,92.0154037,0,236.9349976,33.63940471,72.9867328
-1,34,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5781994,33.4122009,27.4848003,37.0950012,7479.109863,184.0310059,13.4031,370.105011,33.64513569,72.98825098
-1,35,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5701008,33.4528999,27.5025005,37.1004982,7479.109863,184.0310059,13.4031,370.105011,33.6451203,72.98829302
-1,36,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5571003,33.4085999,27.5286999,37.0516014,9628.280273,184.0310059,9.4774103,363.2460022,33.6450863,72.98838492
-1,37,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5571003,33.4085999,27.5286999,37.0516014,9628.280273,184.0310059,9.4774103,363.2460022,33.64507428,72.9884136
-1,38,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5571003,33.4085999,27.5286999,37.0516014,10917.7998,184.0310059,13.4031,365.8330078,33.64506544,72.98843552
-1,39,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5429993,33.3709984,27.5377007,37.0730019,10917.7998,184.0310059,13.4031,365.8330078,33.64505449,72.98846243
-1,40,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5361004,33.463501,27.4890995,37.2863007,10917.7998,184.0310059,13.4031,365.8330078,33.645044,72.98848661
-1,41,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5361004,33.463501,27.4890995,37.2863007,10316,184.0310059,9.4774103,356.7590027,33.64503209,72.98850877
-1,42,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5361004,33.463501,27.4890995,37.2863007,10402,184.0310059,13.4031,359.6419983,33.6450218,72.98853338
-1,43,1,5,Cassia glauca,C:\Users\jadoo\Downloads\nust_27.jpg,Fabaceae,08/12/2023 0:00,28.5205994,33.4345016,27.4729004,37.4091988,10402,184.0310059,13.4031,359.6419983,33.64501312,72.98855668
-1,44,2,6,pine,files/20231208105918895_image_0001.jpg,Pinaceae,08/12/2023 0:00,28.4563007,33.9009018,27.2446995,38.3376999,12809,92.0154037,18.9547997,320.6950073,33.64461902,72.98845408
-1,45,2,6,pine,C:\Users\jadoo\Downloads\nust_28.jpg,Pinaceae,08/12/2023 0:00,28.4958992,33.8702011,27.2968998,38.0091019,12981,92.0154037,21.1921005,317.7409973,33.64466471,72.98833839
-1,46,2,6,pine,C:\Users\jadoo\Downloads\nust_28.jpg,Pinaceae,08/12/2023 0:00,28.5251007,33.8254013,27.3316994,37.8013,11519.5,92.0154037,18.9547997,321.8139954,33.64471858,72.98821666
-1,47,2,6,pine,C:\Users\jadoo\Downloads\nust_28.jpg,Pinaceae,08/12/2023 0:00,28.5282993,33.8616982,27.3150005,37.8146019,11519.5,92.0154037,18.9547997,321.8139954,33.64473691,72.98817043
-1,48,2,6,pine,C:\Users\jadoo\Downloads\nust_28.jpg,Pinaceae,08/12/2023 0:00,28.5282993,33.8616982,27.3150005,37.8146019,11519.5,92.0154037,18.9547997,321.8139954,33.64475597,72.98812562
-1,49,2,6,pine,C:\Users\jadoo\Downloads\nust_28.jpg,Pinaceae,08/12/2023 0:00,28.5256996,33.8975983,27.2936993,37.846199,11089.7002,92.0154037,13.4031,328.9899902,33.64477496,72.98807893
-1,50,2,6,pine,C:\Users\jadoo\Downloads\nust_28.jpg,Pinaceae,08/12/2023 0:00,28.5256996,33.8975983,27.2936993,37.846199,11089.7002,92.0154037,13.4031,328.9899902,33.64479374,72.98803734
